tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary
118P15454,CR-36,EASTBOUND,US-212 (WEST),MN,CARVER,55322,44.76857,-93.79914,44.76798,-93.79869,0.047013,1,America/Chicago,P1.11,USA,1027,4,N,3,99999,2,,4,212,3,1,212,11744,293,938,1,100,0,100,1,1
118+15461,CR-36,EASTBOUND,US-10,MN,RAMSEY,55106,44.94589,-93.08523,44.94662,-93.04262,2.276741,9,America/Chicago,P1.11,USA,1029,4,N,3,57628,2,,4,36,6,1,36,16050,642,385,1,100,0,0,0,1
118P15460,CR-36,EASTBOUND,SIBLEY ST,MN,RAMSEY,55101,44.94576,-93.08556,44.94589,-93.08523,0.018466,9.5000000000000000,America/Chicago,P1.11,USA,1029,4,N,3,57628,2,,4,36,6,1,36,15117,605,363,1,100,0,100,0,1
118P15461,CR-36,EASTBOUND,US-10,MN,RAMSEY,55106,44.94662,-93.04262,44.94704,-93.04054,0.105824,10,America/Chicago,P1.11,USA,1029,4,N,3,57628,2,,4,36,6,1,36,17959,718,431,1,100,0,100,0,1
118N15461,CR-36,WESTBOUND,US-10,MN,RAMSEY,55106,44.94715,-93.0406,44.94685,-93.04195,0.069182,16,America/Chicago,P1.11,USA,1029,4,N,3,57628,2,,4,36,6,1,36,17959,718,431,1,100,0,100,0,1
118N15460,CR-36,WESTBOUND,SIBLEY ST,MN,RAMSEY,55101,44.94602,-93.08532,44.9459,-93.08564,0.017706,16.5000000000000000,America/Chicago,P1.11,USA,1029,4,N,3,57628,2,,4,36,6,1,36,15117,605,363,1,100,0,100,0,1
118-15460,CR-36,WESTBOUND,SIBLEY ST,MN,RAMSEY,55106,44.94685,-93.04195,44.94602,-93.08532,2.315428,17,America/Chicago,P1.11,USA,1029,4,N,3,57628,2,,4,36,6,1,36,16073,643,386,1,100,0,0,0,1
118N15454,CR-36,WESTBOUND,US-212 (WEST),MN,CARVER,55322,44.76798,-93.79869,44.76857,-93.79914,0.047013,25,America/Chicago,P1.11,USA,1027,4,N,3,99999,2,,4,212,3,1,212,11744,293,938,1,100,0,100,1,1
118-15654,CR-53,SOUTHBOUND,CR-12/109TH AVE NE/APOLLO DR,MN,ANOKA,55014,45.19611,-93.14258,45.17093,-93.14267,1.739721,1,America/Chicago,P1.11,USA,,,,,,,,,,,,,,,,,,,,,
118P15730,CR-63,NORTHBOUND,MN-55,MN,DAKOTA,55077,44.8385,-93.09925,44.83866,-93.09906,0.014449,11,America/Chicago,P1.11,USA,,,,,,,,,,,,,,,,,,,,,
118N15730,CR-63,SOUTHBOUND,MN-55,MN,DAKOTA,55077,44.83875,-93.09919,44.83861,-93.0994,0.014119,6,America/Chicago,P1.11,USA,,,,,,,,,,,,,,,,,,,,,
118+06114,I-35,NORTHBOUND,RICE/SCOTT COUNTY LINE,MN,RICE,55057,44.47527,-93.29187,44.54339,-93.30076,4.853048,1064,America/Chicago,P3.14,USA,157,1,N,1,99999,2,,4,35,2,1,35,37836,5,5333,1,97,1,97,1,1
118P06114,I-35,NORTHBOUND,RICE/SCOTT COUNTY LINE,MN,RICE,55088,44.54339,-93.30076,44.54399,-93.30058,0.042385,1064.5000000000000000,America/Chicago,P3.14,USA,157,1,N,1,99999,2,,4,35,2,1,35,37836,5,5333,1,100,1,100,1,1
118P04468,I-35,NORTHBOUND,SCOTT/RICE COUNTY LINE,MN,SCOTT,55020,44.54399,-93.30058,44.54475,-93.30032,0.054039,1064.5000000000000000,America/Chicago,P3.14,USA,101,1,N,1,99999,2,,4,35,2,1,35,37836,5,5333,1,100,1,100,1,1
118+04469,I-35,NORTHBOUND,CR-2/EXIT 76,MN,SCOTT,55020,44.54475,-93.30032,44.5695,-93.29829,1.718238,1065,America/Chicago,P1.3,USA,101,1,N,1,99999,2,,4,35,2,1,35,37836,5,5333,1,86,1,86,1,1
118P04469,I-35,NORTHBOUND,CR-2/EXIT 76,MN,SCOTT,55020,44.5695,-93.29829,44.57723,-93.29802,0.534328,1066,America/Chicago,P1.3,USA,101,1,N,1,99999,2,,4,35,2,1,35,38985,61,5380,1,53,1,53,1,1
118+04470,I-35,NORTHBOUND,CR-70/EXIT 81,MN,SCOTT,55044,44.57723,-93.29802,44.63999,-93.29685,4.363796,1067,America/Chicago,P1.3,USA,101,1,N,1,99999,2,,4,35,2,1,35,44994,355,5624,1,100,1,100,1,1
118P04470,I-35,NORTHBOUND,CR-70/EXIT 81,MN,DAKOTA,55044,44.63999,-93.29685,44.64944,-93.29518,0.657954,1068,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,4,35,2,1,35,46741,460,5695,1,66,1,66,1,1
118+04471,I-35,NORTHBOUND,185TH ST/EXIT 84,MN,DAKOTA,55044,44.64944,-93.29518,44.67662,-93.29361,1.882382,1069,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,4,35,2,1,35,70000,1857,6639,1,94,1,94,1,1
118P04471,I-35,NORTHBOUND,185TH ST/EXIT 84,MN,DAKOTA,55044,44.67662,-93.29361,44.6859,-93.29294,0.641922,1070,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,4,35,2,1,35,72241,1932,6552,1,64,1,64,1,1
118+04472,I-35,NORTHBOUND,CR-5/CR-50/EXIT 85,MN,DAKOTA,55044,44.6859,-93.29294,44.69421,-93.29012,0.595215,1071,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,4,35,2,1,35,85000,2357,6054,1,60,1,60,1,1
118P04472,I-35,NORTHBOUND,CR-5/CR-50/EXIT 85,MN,DAKOTA,55044,44.69421,-93.29012,44.69968,-93.28702,0.407408,1072,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,4,35,2,1,35,85000,2357,6054,1,100,1,100,1,1
118+04473,I-35,NORTHBOUND,CR-46/EXIT 86,MN,DAKOTA,55044,44.69968,-93.28702,44.71453,-93.28337,1.044346,1073,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,4,35,2,1,35,85000,2357,6054,1,100,1,100,1,1
118P04473,I-35,NORTHBOUND,CR-46/EXIT 86,MN,DAKOTA,55044,44.71453,-93.28337,44.7188,-93.28198,0.302763,1074,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,6,35,2,1,35,87194,2411,6079,1,100,1,100,1,1
118+04474,I-35,NORTHBOUND,CRYSTAL LAKE RD/EXIT 87,MN,DAKOTA,55306,44.7188,-93.28198,44.72728,-93.28235,0.590878,1075,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,6,35,2,1,35,110765,2988,6342,1,59,1,59,1,1
118P04474,I-35,NORTHBOUND,CRYSTAL LAKE RD/EXIT 87,MN,DAKOTA,55306,44.72728,-93.28235,44.73047,-93.28293,0.222207,1076,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,6,35,2,1,35,106000,2872,6289,1,100,1,100,1,1
118P04475,I-35,NORTHBOUND,I-35 E-W SOUTHERN SPLIT,MN,DAKOTA,55306,44.73119,-93.28307,44.73661,-93.2832,0.375702,1076.5000000000000000,America/Chicago,P1.1,USA,101,1,N,1,57628,2,,6,35,2,1,35,106000,2872,6289,1,100,1,100,1,1
118+04475,I-35,NORTHBOUND,I-35 E-W SOUTHERN SPLIT,MN,DAKOTA,55306,44.73047,-93.28293,44.73119,-93.28307,0.050225,1077,America/Chicago,P1.1,USA,101,1,N,1,57628,2,,6,35,2,1,35,106000,2872,6289,1,100,1,100,1,1
118+04209,I-35,NORTHBOUND,MN-97/CR-23/EXIT 129,MN,ANOKA,55025,45.22579,-93.02793,45.24736,-93.02597,1.500622,1079,America/Chicago,P1.3,USA,75,1,N,1,99999,2,,6,35,2,1,35,84692,1456,2108,1,75,1,75,1,1
118P04208,I-35,NORTHBOUND,I-35 E-W NORTHERN SPLIT,MN,ANOKA,55038,45.22492,-93.02788,45.22579,-93.02793,0.060150,1079.5000000000000000,America/Chicago,P1.1,USA,75,1,N,1,99999,2,,6,35,2,1,35,85000,1456,2108,1,100,1,100,1,1
118P04209,I-35,NORTHBOUND,MN-97/CR-23/EXIT 129,MN,ANOKA,55025,45.24736,-93.02597,45.25314,-93.02307,0.423519,1080,America/Chicago,P1.3,USA,75,1,N,1,99999,2,,6,35,2,1,35,75000,1341,2056,1,100,1,100,1,1
118+04210,I-35,NORTHBOUND,CR-2/EXIT 131,MN,WASHINGTON,55025,45.25314,-93.02307,45.27672,-93.00441,1.914693,1081,America/Chicago,P1.3,USA,75,1,N,1,99998,2,,6,35,2,1,35,75016,1214,1994,1,96,1,96,1,1
118P04210,I-35,NORTHBOUND,CR-2/EXIT 131,MN,WASHINGTON,55025,45.27672,-93.00441,45.28283,-93.00302,0.431170,1082,America/Chicago,P1.3,USA,75,1,N,1,99998,2,,6,35,2,1,35,76000,1428,1886,1,100,1,100,1,1
118+04211,I-35,NORTHBOUND,US-8/EXIT 132,MN,WASHINGTON,55025,45.28283,-93.00302,45.28647,-93.00293,0.251496,1083,America/Chicago,P1.3,USA,75,1,N,1,99998,2,,4,35,2,1,35,76000,1428,1886,1,100,1,100,1,1
118P04211,I-35,NORTHBOUND,US-8/EXIT 132,MN,WASHINGTON,55025,45.28647,-93.00293,45.29014,-93.00281,0.253591,1084,America/Chicago,P1.3,USA,75,1,N,1,99998,2,,4,35,2,1,35,54925,911,1650,1,100,1,100,1,1
118+04212,I-35,NORTHBOUND,WASHINGTON/CHISAGO CO LINE,MN,WASHINGTON,55025,45.29014,-93.00281,45.29641,-93.00262,0.433238,1085,America/Chicago,P3.14,USA,75,1,N,1,99998,2,,4,35,2,1,35,53000,864,1628,1,100,1,100,1,1
118P04212,I-35,NORTHBOUND,WASHINGTON/CHISAGO CO LINE,MN,WASHINGTON,55025,45.29641,-93.00262,45.29686,-93.00259,0.031120,1085.5000000000000000,America/Chicago,P3.14,USA,75,1,N,1,99998,2,,4,35,2,1,35,53000,864,1628,1,100,1,100,1,1
118P06115,I-35,NORTHBOUND,CHISAGO/WASHINGTON COUNTY LINE,MN,CHISAGO,55092,45.29686,-93.00259,45.29931,-93.00253,0.169272,1085.5000000000000000,America/Chicago,P3.14,USA,158,1,N,1,99998,2,,4,35,2,1,35,53000,864,1628,1,100,1,100,1,1
118+06116,I-35,NORTHBOUND,US-61/CR-22/EXIT 135,MN,CHISAGO,55092,45.29931,-93.00253,45.33331,-93.00457,2.354747,1086,America/Chicago,P1.3,USA,158,1,N,1,99998,2,,4,35,2,1,35,53000,864,1628,1,100,1,100,1,1
118P06116,I-35,NORTHBOUND,US-61/CR-22/EXIT 135,MN,CHISAGO,55092,45.33331,-93.00457,45.33949,-93.00449,0.427058,1087,America/Chicago,P1.3,USA,158,1,N,1,99998,2,,4,35,2,1,35,47300,724,1564,1,100,1,100,1,1
118+06117,I-35,NORTHBOUND,CR-19/EXIT 139,MN,CHISAGO,55092,45.33949,-93.00449,45.39315,-92.99375,3.791887,1088,America/Chicago,P1.3,USA,158,1,N,1,99998,2,,4,35,2,1,35,47000,717,1561,1,95,1,95,1,1
118P06117,I-35,NORTHBOUND,CR-19/EXIT 139,MN,CHISAGO,55079,45.39315,-92.99375,45.39985,-92.99479,0.467484,1089,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,38327,505,1464,1,100,1,100,1,1
118+18728,I-35,NORTHBOUND,CR-17/ATHENS TRL/EXIT 143,MN,CHISAGO,55079,45.39985,-92.99479,45.44675,-92.98913,3.280858,1090,America/Chicago,P1.11,USA,158,1,N,1,99999,2,,4,35,2,1,35,37500,485,1455,1,100,1,100,1,1
118P18728,I-35,NORTHBOUND,CR-17/ATHENS TRL/EXIT 143,MN,CHISAGO,55079,45.44675,-92.98913,45.45461,-92.99055,0.552052,1091,America/Chicago,P1.11,USA,158,1,N,1,99999,2,,4,35,2,1,35,37500,485,1455,1,55,1,55,1,1
118+06118,I-35,NORTHBOUND,MN-95/EXIT 147,MN,CHISAGO,55056,45.45461,-92.99055,45.50681,-92.99312,3.674555,1092,America/Chicago,P1.3,USA,158,1,N,1,99998,2,,4,35,2,1,35,37500,485,1455,1,92,1,92,1,1
118P06118,I-35,NORTHBOUND,MN-95/EXIT 147,MN,CHISAGO,55056,45.50681,-92.99312,45.51389,-92.99274,0.489672,1093,America/Chicago,P1.3,USA,158,1,N,1,99998,2,,4,35,2,1,35,35470,534,1370,1,100,1,100,1,1
118+06119,I-35,NORTHBOUND,CR-10/EXIT 152,MN,CHISAGO,55056,45.51389,-92.99274,45.57456,-92.99217,4.201151,1094,America/Chicago,P1.3,USA,158,1,N,1,99998,2,,4,35,2,1,35,26500,750,994,1,100,1,100,1,1
118P06119,I-35,NORTHBOUND,CR-10/EXIT 152,MN,CHISAGO,55032,45.57456,-92.99217,45.58144,-92.99267,0.475887,1095,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,27428,806,1032,1,100,1,100,1,1
118+06120,I-35,NORTHBOUND,MN-361/CR-1/EXIT 159,MN,CHISAGO,55032,45.58144,-92.99267,45.67998,-92.99045,6.841639,1096,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,27500,810,1035,1,98,1,98,1,1
118P06120,I-35,NORTHBOUND,MN-361/CR-1/EXIT 159,MN,CHISAGO,55069,45.67998,-92.99045,45.68781,-92.99013,0.545007,1097,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,26355,741,988,1,54,1,54,1,1
118+06121,I-35,NORTHBOUND,MN-70/EXIT 165,MN,CHISAGO,55069,45.68781,-92.99013,45.76293,-92.98983,5.201943,1098,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,25000,660,933,1,100,1,100,1,1
118P06121,I-35,NORTHBOUND,MN-70/EXIT 165,MN,PINE,55063,45.76293,-92.98983,45.76961,-92.98958,0.462332,1099,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,22563,670,1015,1,100,1,100,1,1
118+06122,I-35,NORTHBOUND,MN-324/CR-7/EXIT 169,MN,PINE,55063,45.76961,-92.98958,45.81876,-92.98327,3.451267,1100,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,19237,683,1128,1,100,1,100,1,1
118P06122,I-35,NORTHBOUND,MN-324/CR-7/EXIT 169,MN,PINE,55063,45.81876,-92.98327,45.82498,-92.98389,0.430855,1101,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,19996,728,1159,1,100,1,100,1,1
118+06123,I-35,NORTHBOUND,CR-11/EXIT 171,MN,PINE,55063,45.82498,-92.98389,45.84283,-92.97767,1.273934,1102,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,20724,772,1188,1,100,1,100,1,1
118P06123,I-35,NORTHBOUND,CR-11/EXIT 171,MN,PINE,55063,45.84283,-92.97767,45.85052,-92.97384,0.562288,1103,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,20724,772,1188,1,56,1,56,1,1
118+06124,I-35,NORTHBOUND,CR-14/EXIT 175,MN,PINE,55063,45.85052,-92.97384,45.90013,-92.96664,3.452860,1104,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,17055,552,1039,1,100,1,100,1,1
118P06124,I-35,NORTHBOUND,CR-14/EXIT 175,MN,PINE,55063,45.90013,-92.96664,45.9074,-92.96661,0.502226,1105,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,17047,551,1039,1,50,1,50,1,1
118+06125,I-35,NORTHBOUND,CR-61/EXIT 180,MN,PINE,55063,45.9074,-92.96661,45.97358,-92.95642,4.614693,1106,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,16857,540,1031,1,92,1,92,1,1
118P06125,I-35,NORTHBOUND,CR-61/EXIT 180,MN,PINE,55063,45.97358,-92.95642,45.9791,-92.95482,0.389264,1107,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,16951,546,1035,1,100,1,100,1,1
118-06125,I-35,SOUTHBOUND,CR-61/EXIT 180,MN,PINE,55037,46.00732,-92.93389,45.97882,-92.95526,2.259132,58,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,18146,617,1083,1,100,1,100,1,1
118N06125,I-35,SOUTHBOUND,CR-61/EXIT 180,MN,PINE,55063,45.97882,-92.95526,45.97334,-92.95678,0.385586,59,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,16857,540,1031,1,100,1,100,1,1
118-06124,I-35,SOUTHBOUND,CR-14/EXIT 175,MN,PINE,55063,45.97334,-92.95678,45.90746,-92.96709,4.601015,60,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,16857,540,1031,1,92,1,92,1,1
118N06124,I-35,SOUTHBOUND,CR-14/EXIT 175,MN,PINE,55063,45.90746,-92.96709,45.90079,-92.96695,0.460956,61,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,17044,551,1039,1,100,1,100,1,1
118-06123,I-35,SOUTHBOUND,CR-11/EXIT 171,MN,PINE,55063,45.90079,-92.96695,45.85223,-92.9736,3.370122,62,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,17055,552,1039,1,100,1,100,1,1
118N06123,I-35,SOUTHBOUND,CR-11/EXIT 171,MN,PINE,55063,45.85223,-92.9736,45.84236,-92.97824,0.718539,63,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,20210,741,1167,1,72,1,72,1,1
118-06122,I-35,SOUTHBOUND,MN-324/CR-7/EXIT 169,MN,PINE,55063,45.84236,-92.97824,45.82469,-92.98416,1.259647,64,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,20724,772,1188,1,100,1,100,1,1
118N06122,I-35,SOUTHBOUND,MN-324/CR-7/EXIT 169,MN,PINE,55063,45.82469,-92.98416,45.81853,-92.98382,0.426626,65,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,19940,725,1156,1,100,1,100,1,1
118-06121,I-35,SOUTHBOUND,MN-70/EXIT 165,MN,PINE,55063,45.81853,-92.98382,45.77059,-92.98997,3.364299,66,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,19237,683,1128,1,100,1,100,1,1
118N06121,I-35,SOUTHBOUND,MN-70/EXIT 165,MN,PINE,55063,45.77059,-92.98997,45.76354,-92.99003,0.487986,67,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,21889,672,1038,1,100,1,100,1,1
118-06120,I-35,SOUTHBOUND,MN-361/CR-1/EXIT 159,MN,CHISAGO,55069,45.76354,-92.99003,45.68761,-92.99039,5.258510,68,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,25000,660,933,1,100,1,100,1,1
118N06120,I-35,SOUTHBOUND,MN-361/CR-1/EXIT 159,MN,CHISAGO,55069,45.68761,-92.99039,45.68161,-92.99039,0.417308,69,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,26085,725,977,1,100,1,100,1,1
118-06119,I-35,SOUTHBOUND,CR-10/EXIT 152,MN,CHISAGO,55032,45.68161,-92.99039,45.58226,-92.993,6.899471,70,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,27500,810,1035,1,99,1,99,1,1
118N06119,I-35,SOUTHBOUND,CR-10/EXIT 152,MN,CHISAGO,55032,45.58226,-92.993,45.57491,-92.99245,0.508436,71,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,27500,810,1035,1,51,1,51,1,1
118-06118,I-35,SOUTHBOUND,MN-95/EXIT 147,MN,CHISAGO,55056,45.57491,-92.99245,45.5136,-92.99311,4.245081,72,America/Chicago,P1.3,USA,158,1,N,1,99998,2,,4,35,2,1,35,26500,750,994,1,100,1,100,1,1
118N06118,I-35,SOUTHBOUND,MN-95/EXIT 147,MN,CHISAGO,55056,45.5136,-92.99311,45.50718,-92.99338,0.443763,73,America/Chicago,P1.3,USA,158,1,N,1,99998,2,,4,35,2,1,35,35785,526,1383,1,100,1,100,1,1
118-18728,I-35,SOUTHBOUND,CR-17/ATHENS TRL/EXIT 143,MN,CHISAGO,55056,45.50718,-92.99338,45.45688,-92.99232,3.528870,74,America/Chicago,P1.11,USA,158,1,N,1,99998,2,,4,35,2,1,35,37500,485,1455,1,88,1,88,1,1
118N18728,I-35,SOUTHBOUND,CR-17/ATHENS TRL/EXIT 143,MN,CHISAGO,55079,45.45688,-92.99232,45.44629,-92.98938,0.756680,75,America/Chicago,P1.11,USA,158,1,N,1,99999,2,,4,35,2,1,35,37500,485,1455,1,76,1,76,1,1
118-06117,I-35,SOUTHBOUND,CR-19/EXIT 139,MN,CHISAGO,55079,45.44629,-92.98938,45.40057,-92.99499,3.198724,76,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,37500,485,1455,1,100,1,100,1,1
118N06117,I-35,SOUTHBOUND,CR-19/EXIT 139,MN,CHISAGO,55079,45.40057,-92.99499,45.39443,-92.99443,0.426601,77,America/Chicago,P1.3,USA,158,1,N,1,99999,2,,4,35,2,1,35,37500,485,1455,1,100,1,100,1,1
118-06116,I-35,SOUTHBOUND,US-61/CR-22/EXIT 135,MN,CHISAGO,55079,45.39443,-92.99443,45.33993,-93.00469,3.851081,78,America/Chicago,P1.3,USA,158,1,N,1,99998,2,,4,35,2,1,35,46863,714,1559,1,96,1,96,1,1
118N06116,I-35,SOUTHBOUND,US-61/CR-22/EXIT 135,MN,CHISAGO,55092,45.33993,-93.00469,45.33333,-93.00483,0.456199,79,America/Chicago,P1.3,USA,158,1,N,1,99998,2,,4,35,2,1,35,47000,717,1561,1,100,1,100,1,1
118-06115,I-35,SOUTHBOUND,CHISAGO/WASHINGTON COUNTY LINE,MN,CHISAGO,55092,45.33333,-93.00483,45.29932,-93.00275,2.355056,80,America/Chicago,P3.14,USA,158,1,N,1,99998,2,,4,35,2,1,35,53000,864,1628,1,100,1,100,1,1
118N04212,I-35,SOUTHBOUND,WASHINGTON/CHISAGO CO LINE,MN,WASHINGTON,55025,45.29686,-93.00285,45.2964,-93.00287,0.031792,80.5000000000000000,America/Chicago,P3.14,USA,75,1,N,1,99998,2,,4,35,2,1,35,53000,864,1628,1,100,1,100,1,1
118N06115,I-35,SOUTHBOUND,CHISAGO/WASHINGTON COUNTY LINE,MN,CHISAGO,55092,45.29932,-93.00275,45.29686,-93.00285,0.170007,80.5000000000000000,America/Chicago,P3.14,USA,158,1,N,1,99998,2,,4,35,2,1,35,53000,864,1628,1,100,1,100,1,1
118-04211,I-35,SOUTHBOUND,US-8/EXIT 132,MN,WASHINGTON,55025,45.2964,-93.00287,45.29014,-93.00306,0.432542,81,America/Chicago,P1.3,USA,75,1,N,1,99998,2,,4,35,2,1,35,53000,864,1628,1,100,1,100,1,1
118N04211,I-35,SOUTHBOUND,US-8/EXIT 132,MN,WASHINGTON,55025,45.29014,-93.00306,45.28481,-93.00325,0.368325,82,America/Chicago,P1.3,USA,75,1,N,1,99998,2,,4,35,2,1,35,61511,1073,1723,1,100,1,100,1,1
118-04210,I-35,SOUTHBOUND,CR-2/EXIT 131,MN,WASHINGTON,55025,45.28481,-93.00325,45.28328,-93.0033,0.105722,83,America/Chicago,P1.3,USA,75,1,N,1,99998,2,,4,35,2,1,35,76000,1428,1886,1,100,1,100,1,1
118N04210,I-35,SOUTHBOUND,CR-2/EXIT 131,MN,WASHINGTON,55025,45.28328,-93.0033,45.27642,-93.00487,0.484465,84,America/Chicago,P1.3,USA,75,1,N,1,99998,2,,6,35,2,1,35,75999,1428,1886,1,100,1,100,1,1
118-04209,I-35,SOUTHBOUND,MN-97/CR-23/EXIT 129,MN,WASHINGTON,55025,45.27642,-93.00487,45.25376,-93.02307,1.847422,85,America/Chicago,P1.3,USA,75,1,N,1,99998,2,,6,35,2,1,35,75000,1211,1996,1,92,1,92,1,1
118N04209,I-35,SOUTHBOUND,MN-97/CR-23/EXIT 129,MN,ANOKA,55025,45.25376,-93.02307,45.2475,-93.02627,0.459631,86,America/Chicago,P1.3,USA,75,1,N,1,99999,2,,6,35,2,1,35,75000,1331,2051,1,100,1,100,1,1
118N04208,I-35,SOUTHBOUND,I-35 E-W NORTHERN SPLIT,MN,ANOKA,55038,45.22472,-93.02901,45.22259,-93.0291,0.147227,86.5000000000000000,America/Chicago,P1.1,USA,75,1,N,1,99999,2,,6,35,2,1,35,85000,1456,2108,1,100,1,100,1,1
118-04208,I-35,SOUTHBOUND,I-35 E-W NORTHERN SPLIT,MN,ANOKA,55025,45.2475,-93.02627,45.22472,-93.02901,1.587539,87,America/Chicago,P1.1,USA,75,1,N,1,99999,2,,6,35,2,1,35,84714,1456,2108,1,79,1,79,1,1
118N04474,I-35,SOUTHBOUND,CRYSTAL LAKE RD/EXIT 87,MN,DAKOTA,55306,44.73054,-93.28313,44.72777,-93.28264,0.192865,89,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,6,35,2,1,35,106000,2872,6289,1,100,1,100,1,1
118N04475,I-35,SOUTHBOUND,I-35 E-W SOUTHERN SPLIT,MN,DAKOTA,55306,44.73155,-93.28334,44.73124,-93.28329,0.021555,89.0005000000000000,America/Chicago,P1.1,USA,101,1,N,1,57628,2,,6,35,2,1,35,106000,2872,6289,1,100,1,100,1,1
118-04474,I-35,SOUTHBOUND,CRYSTAL LAKE RD/EXIT 87,MN,DAKOTA,55306,44.73124,-93.28329,44.73054,-93.28313,0.048994,89.001,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,6,35,2,1,35,106000,2872,6289,1,100,1,100,1,1
118-04473,I-35,SOUTHBOUND,CR-46/EXIT 86,MN,DAKOTA,55306,44.72777,-93.28264,44.71891,-93.28222,0.617340,90,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,6,35,2,1,35,110482,2981,6339,1,62,1,62,1,1
118N04473,I-35,SOUTHBOUND,CR-46/EXIT 86,MN,DAKOTA,55044,44.71891,-93.28222,44.71461,-93.28362,0.304910,91,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,6,35,2,1,35,87343,2414,6080,1,100,1,100,1,1
118-04472,I-35,SOUTHBOUND,CR-5/CR-50/EXIT 85,MN,DAKOTA,55044,44.71461,-93.28362,44.70093,-93.28666,0.957973,92,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,4,35,2,1,35,85000,2357,6054,1,96,1,96,1,1
118N04472,I-35,SOUTHBOUND,CR-5/CR-50/EXIT 85,MN,DAKOTA,55044,44.70093,-93.28666,44.69477,-93.29008,0.457605,93,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,4,35,2,1,35,85000,2357,6054,1,100,1,100,1,1
118-04471,I-35,SOUTHBOUND,185TH ST/EXIT 84,MN,DAKOTA,55044,44.69477,-93.29008,44.68592,-93.29327,0.636051,94,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,4,35,2,1,35,85000,2357,6054,1,64,1,64,1,1
118N04471,I-35,SOUTHBOUND,185TH ST/EXIT 84,MN,DAKOTA,55044,44.68592,-93.29327,44.67692,-93.29391,0.622524,95,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,4,35,2,1,35,72318,1934,6549,1,62,1,62,1,1
118-04470,I-35,SOUTHBOUND,CR-70/EXIT 81,MN,DAKOTA,55044,44.67692,-93.29391,44.64427,-93.29643,2.263159,96,America/Chicago,P1.3,USA,101,1,N,1,57628,2,,4,35,2,1,35,66486,1646,6496,1,100,1,100,1,1
