tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date
118+04261,I-35W,NORTHBOUND,US-10/EXIT 30,MN,RAMSEY,55112,45.10778,-93.18824,45.11065,-93.18823,0.198278,197,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,125000,2734,6040,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04261,I-35W,NORTHBOUND,US-10/EXIT 30,MN,RAMSEY,55126,45.11065,-93.18823,45.11419,-93.18834,0.244712,198,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,125000,2734,6040,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04262,I-35W,NORTHBOUND,CR-J/85TH AVE/EXIT 31A,MN,RAMSEY,55126,45.11419,-93.18834,45.12154,-93.18836,0.507782,199,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,89000,2141,2054,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04262,I-35W,NORTHBOUND,CR-J/85TH AVE/EXIT 31A,MN,RAMSEY,55126,45.12154,-93.18836,45.12368,-93.18839,0.147839,200,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,89000,2141,2054,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04263,I-35W,NORTHBOUND,LAKE DR/EXIT 31B,MN,RAMSEY,55449,45.12368,-93.18839,45.12431,-93.18841,0.043531,201,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,89000,2141,2054,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04264,I-35W,NORTHBOUND,CR-52/95TH AVE/EXIT 32,MN,ANOKA,55449,45.12828,-93.18844,45.14192,-93.18589,0.963320,202,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,4,35,2,1,35W,63070,1505,1763,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04264,I-35W,NORTHBOUND,CR-52/95TH AVE/EXIT 32,MN,ANOKA,55449,45.14192,-93.18589,45.14524,-93.18254,0.282296,203,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,4,35,2,1,35W,59000,1406,1718,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04265,I-35W,NORTHBOUND,CR-17/LEXINGTON AVE/EXIT 33,MN,ANOKA,55449,45.14524,-93.18254,45.15606,-93.16767,1.040932,204,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,4,35,2,1,35W,59000,1406,1718,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04265,I-35W,NORTHBOUND,CR-17/LEXINGTON AVE/EXIT 33,MN,ANOKA,55014,45.15606,-93.16767,45.16079,-93.16116,0.455366,205,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,4,35,2,1,35W,50038,1186,1618,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04266,I-35W,NORTHBOUND,CR-23/EXIT 36,MN,ANOKA,55014,45.16079,-93.16116,45.17794,-93.11814,2.471239,206,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,4,35,2,1,35W,48000,1136,1595,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04266,I-35W,NORTHBOUND,CR-23/EXIT 36,MN,ANOKA,55014,45.17794,-93.11814,45.18125,-93.10925,0.491626,207,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,4,35,2,1,35W,43582,1226,2214,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118+04267,I-35W,NORTHBOUND,I-35E & I-35W JUNCTION (NORTH),MN,ANOKA,55038,45.18125,-93.10925,45.21848,-93.02922,4.773755,208,America/Chicago,P1.1,USA,78,1,N,1,57628,2,,4,35,2,1,35W,43000,1238,2295,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
118P04267,I-35W,NORTHBOUND,I-35E & I-35W JUNCTION (NORTH),MN,ANOKA,55038,45.21848,-93.02922,45.22492,-93.02788,0.458009,209,America/Chicago,P1.1,USA,78,1,N,1,57628,2,,4,35,2,1,35E,52672,1082,2095,1,100,1,100,1,1,2019-01-01 00:00:00-05:00,
